id,name,address,category,naver_category,new_cuisine_type,new_main_category
40284,샐러리아 상계점,"서울특별시 노원구 한글비석로 383, 삼창타워프라자 지하1층 20, 21호 (중계동)",기타,"도시락,컵밥>다이어트,샐러드",양식,RESTAURANT
40334,샤오린(xiao lin),"서울특별시 노원구 공릉로20길 28, 1층 (공릉동)",기타,,기타,RESTAURANT
40368,케이지 CAGE,"서울특별시 노원구 석계로 14-1, 지하1층 (월계동)",기타,한식>돼지고기구이,고기/구이,RESTAURANT
40372,오어낫(or nah),"서울특별시 노원구 동일로184길 69-9, 1층 (공릉동)",기타,"음식점>카페,디저트",카페,CAFE
40386,키라키라윤,"서울특별시 노원구 동일로184길 69-9, 3, 4층 (공릉동)",기타,술집>이자카야,술집/바,PUB
40436,틸트(TILT),"서울특별시 노원구 상계로7길 13, 지현빌딩 1층 (상계동)",기타,"음식점>카페,디저트",카페,CAFE
40465,노가리부르쓰,"서울특별시 노원구 노해로 517-9, 2층 (상계동)",기타,음식점>술집,술집/바,PUB
40483,심야,"서울특별시 노원구 상계로23길 27, 1층 좌측호 (상계동)",기타,술집>요리주점,술집/바,PUB
40485,파스토 보이,"서울특별시 노원구 광운로19길 11, 1층 (월계동, 일신주택)",기타,양식>이탈리아음식,양식,RESTAURANT
40490,루아흐,"서울특별시 노원구 중계로16나길 9, 1층 (중계동)",기타,음식점>퓨전음식,한식,RESTAURANT
40494,제이크(JAKE),"서울특별시 용산구 이태원로 164-1, 지1층 (이태원동)",기타,술집>와인,술집/바,PUB
40534,온에어,"서울특별시 노원구 한글비석로23길 32, 1층 (상계동)",기타,미용>미용실,기타,RESTAURANT
40603,플레르,"서울특별시 노원구 동일로242가길 30-4, 지하1층 B101호 (상계동)",기타,"음식점>카페,디저트",카페,CAFE
40623,담꾹 중계브라운스톤점,"서울특별시 노원구 동일로203가길 29, 162호 (중계동, 브라운스톤중계)",기타,음식점>밀키트,한식,RESTAURANT
40630,페페그라노,"서울특별시 노원구 공릉로32길 5, 1층 (공릉동)",기타,음식점>이탈리아음식,양식,RESTAURANT
40634,타임,"서울특별시 노원구 동일로242길 23, 2층 (상계동)",기타,음식점>양식,양식,RESTAURANT
40669,프란,"서울특별시 노원구 동일로182길 17, 1층 101호 (공릉동)",기타,,기타,RESTAURANT
40693,MAYORE,"서울특별시 노원구 한글비석로44길 5, 1층 좌측호 (상계동)",기타,"음식점>카페,디저트",카페,CAFE
40704,인스타,"서울특별시 노원구 노해로83길 20, 6층 (상계동)",기타,술집>바(BAR),술집/바,PUB
40720,우마이,"서울특별시 노원구 동일로227길 26, 1층 (상계동)",기타,"음식점>일식>초밥,롤",일식,RESTAURANT
40813,미스권,"서울특별시 노원구 노원로28길 67, 2층 202호 (상계동)",기타,,기타,RESTAURANT
40865,알러이(ALOI),"서울특별시 노원구 공릉로43길 15, 102호 (공릉동)",기타,음식점>아시아음식,한식,RESTAURANT
40898,오늘도,"서울특별시 노원구 화랑로45길 42-7, 1층 101호 (월계동)",기타,음식점>일식>일본식라면,일식,RESTAURANT
40912,미뉴토,"서울특별시 노원구 상계로1길 24, 제비동 302호 (상계동)",기타,,기타,RESTAURANT
40932,케어프리(care free),"서울특별시 노원구 동일로242가길 14-6, 1층 (상계동)",기타,"음식점>카페,디저트",카페,CAFE
41022,호호야(hohoya),"서울특별시 노원구 한글비석로31길 9, 지상1층 우측점포호 (상계동)",기타,술집>바(BAR),술집/바,PUB
41053,맷돌로만 수락산점,"서울특별시 노원구 동일로242길 123, 영빌딩 (상계동)",기타,한식>두부요리,한식,RESTAURANT
41060,웨이스테이션,"서울특별시 노원구 화랑로 467, 2층 (공릉동)",기타,"음식점>카페,디저트",카페,CAFE
41107,낫옛(NOTYET),"서울특별시 중구 다산로18길 8, 1층 (신당동)",기타,음식점>양식,양식,RESTAURANT
41130,보울리쉬 노원점,"서울특별시 노원구 상계로1길 38-11, 우창프라자 1층 104호 (상계동)",기타,"도시락,컵밥>다이어트,샐러드",양식,RESTAURANT
41131,아일림,"서울특별시 노원구 화랑로51길 18, 지상1층 (공릉동)",기타,브런치카페,양식,RESTAURANT
41133,슬로우캘리 공릉점,"서울특별시 노원구 공릉로 208, 1층 4호 (공릉동)",기타,"도시락,컵밥>다이어트,샐러드",양식,RESTAURANT
41135,단샤오담,"서울특별시 노원구 상계로3길 15, 현우빌딩 1층 7호 (상계동)",기타,"중식>딤섬,중식만두",중식,RESTAURANT
41264,프레스코 앤 보노 Fresco & Buono,"서울특별시 송파구 마천로 142, 지하1층 (오금동)",기타,,기타,RESTAURANT
41284,숩숩(sup sup),"서울특별시 송파구 올림픽로4길 17, 아시아선수촌아파트 중심상가 2층 279호 (잠실동)",기타,"음식점>카페,디저트",카페,CAFE
41430,대박 노가리,"서울특별시 은평구 응암로21길 9 (응암동, 1층102호)",기타,"술집>맥주,호프",술집/바,PUB
41721,돈구어,"서울특별시 은평구 진관2로 15-8, 웅신 미켈란의아침 1층 109호 (진관동)",기타,"한식>육류,고기요리",고기/구이,RESTAURANT
41766,빠담,"서울특별시 은평구 역말로 27 (역촌동, 1층)",기타,술집>요리주점,술집/바,PUB
41784,베이비기네스,"서울특별시 은평구 통일로83길 5-9, 2층 (갈현동)",기타,"술집>맥주,호프",술집/바,PUB
41855,아틀리에 크레타,"서울특별시 마포구 양화로7길 56, 천홍빌딩 1층 (서교동)",기타,"쇼핑,유통>슈퍼,마트",기타,RESTAURANT
